Rank,Release Group,Worldwide,Domestic,%,Foreign,%
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
139,Sword Art Online: Progressive - Aria of a Starless Night,"$14,027,926","$1,050,000",7.5%,"$12,977,926",92.5%
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
141,OSS 117: From Africa with Love,"$13,433,702",-,-,"$13,433,702",100%
142,Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
143,Eiffel,"$13,082,620",-,-,"$13,082,620",100%
144,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
145,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
146,School of Magical Animals,"$12,949,263",-,-,"$12,949,263",100%
147,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
148,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
149,The Many Saints of Newark,"$12,737,403","$8,237,403",64.7%,"$4,500,000",35.3%
150,Character,"$12,571,501",-,-,"$12,571,501",100%
151,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
152,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
153,On the Line,"$11,772,156",-,-,"$11,772,156",100%
154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
155,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
156,Aline,"$11,086,056","$605,972",5.5%,"$10,480,084",94.5%
157,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",7.4%,"$9,996,115",92.6%
158,Krack,"$10,442,916",-,-,"$10,442,916",100%
159,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
160,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
161,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
162,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
163,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
